station,start_count,end_count,total_count
"Hyde Park Corner, Hyde Park",658129,655670,1313799
"Belgrove Street , King's Cross",579703,571662,1151365
"Waterloo Station 3, Waterloo",512990,492656,1005646
"Albert Gate, Hyde Park",451863,454096,905959
"Black Lion Gate, Kensington Gardens",451696,442809,894505
"Hop Exchange, The Borough",374920,502401,877321
"Waterloo Station 1, Waterloo",407848,390908,798756
"Wellington Arch, Hyde Park",386105,379828,765933
"Wormwood Street, Liverpool Street",342606,359152,701758
"Triangle Car Park, Hyde Park",348269,343630,691899
"Brushfield Street, Liverpool Street",314535,366726,681261
"Duke Street Hill, London Bridge",324757,337085,661842
"Bethnal Green Road, Shoreditch",309839,311678,621517
"Aquatic Centre, Queen Elizabeth Olympic Park",298695,300149,598844
"Storey's Gate, Westminster",285389,311046,596435
"Craven Street, Strand",286248,298615,584863
"Soho Square , Soho",260994,302789,563783
"Tooley Street, Bermondsey",261688,290142,551830
"Park Lane , Hyde Park",276216,274966,551182
"Serpentine Car Park, Hyde Park",274323,273923,548246
"Palace Gate, Kensington Gardens",271603,271190,542793
"Finsbury Circus, Liverpool Street",257024,283244,540268
"Cheapside, Bank",260835,275040,535875
"Tower Gardens , Tower",259483,276381,535864
"Queen Street 1, Bank",255838,279266,535104
"Whitehall Place, Strand",251954,278186,530140
"Holborn Circus, Holborn",219536,298444,517980
"Green Park Station, Mayfair",246750,270836,517586
"Exhibition Road, Knightsbridge",245824,268395,514219
"Crosswall, Tower",245039,259734,504773
"Regent's Row , Haggerston ",204338,297377,501715
"Newgate Street , St. Paul's",228433,270861,499294
"St. James's Square, St. James's",213229,281310,494539
"Little Argyll Street, West End",234696,254463,489159
"Shoreditch High Street, Shoreditch",239883,237668,477551
"South Kensington Station, South Kensington",231939,239172,471111
"Vauxhall Cross, Vauxhall",235339,235108,470447
"Great Tower Street, Monument",225615,243790,469405
"Old Street Station, St. Luke's",230019,237309,467328
"Kennington Lane Rail Bridge, Vauxhall",230262,232797,463059
"Queen's Gate, Kensington Gardens",228132,228151,456283
"Islington Green, Angel",232806,222805,455611
"William IV Street, Strand",204712,249766,454478
"Bayswater Road, Hyde Park",226598,218014,444612
"Fulham Broadway, Walham Green",213871,215973,429844
"Queen Street 2, Bank",194365,235343,429708
"Baylis Road, Waterloo",207099,215597,422696
"Waterloo Station 2, Waterloo",243259,175395,418654
"Derry Street, Kensington",200264,208081,408345
"Drury Lane, Covent Garden",199457,208111,407568
"Somerset House, Strand",193374,212729,406103
"Moor Street, Soho",195593,206374,401967
"Regent's Row , Haggerston",98790,297377,396167
"Moorfields, Moorgate",188383,207020,395403
"Eagle Wharf Road, Hoxton",215140,173774,388914
"Limerston Street, West Chelsea",190517,197714,388231
"Wardour Street, Soho",188578,199248,387826
"Leonard Circus , Shoreditch",188090,199296,387386
"Jubilee Gardens, South Bank",179733,206346,386079
"Gloucester Road Station, South Kensington",192312,192980,385292
"Leman Street, Aldgate",193977,190133,384110
"Nesham Street, Wapping",191002,190101,381103
"Queen's Circus, Battersea Park",192149,188477,380626
"Old Quebec Street, Marylebone",184460,186644,371104
"Dunston Road , Haggerston",191032,179085,370117
"Warren Street Station, Euston",186467,181440,367907
"Bankside Mix, Bankside",170601,197043,367644
"Malet Street, Bloomsbury",182335,184297,366632
"Eccleston Place, Victoria",181173,181924,363097
"Finsbury Leisure Centre, St. Luke's",183399,178193,361592
"Aldersgate Street, Barbican",177026,183675,360701
"Pall Mall East, West End",167423,192636,360059
"Notting Hill Gate Station, Notting Hill",190611,168130,358741
"Ethelburga Estate, Battersea Park",179826,176637,356463
"Wellington Street , Strand",172056,183430,355486
"Ashley Place, Victoria",171347,179411,350758
"Bermondsey Street, Bermondsey",177542,172027,349569
"Bank of England Museum, Bank",168253,180147,348400
"Royal London Hospital, Whitechapel",172044,171517,343561
"Berry Street, Clerkenwell",167683,173894,341577
"Hatton Wall, Holborn",168577,171979,340556
"Flood Street, Chelsea",168793,171315,340108
"Sedding Street, Sloane Square",161848,174248,336096
"Curlew Street, Shad Thames",168023,167779,335802
"Westminster Pier, Westminster",139782,194022,333804
"Godliman Street, St. Paul's",158920,174839,333759
"Red Lion Street, Holborn",168419,164168,332587
"Great Marlborough Street, Soho",156195,172951,329146
"Panton Street, West End",158556,170182,328738
"Bunhill Row, Moorgate",151452,172341,323793
"Northumberland Avenue, Strand",147225,172586,319811
"Tavistock Street, Covent Garden",145263,173788,319051
"Bath Street, St. Luke's",156984,159061,316045
"Braham Street, Aldgate",155563,157853,313416
"Flamborough Street, Limehouse",156669,154960,311629
"Clerkenwell Green, Clerkenwell",153082,158182,311264
"West Smithfield Rotunda, Farringdon",152120,157837,309957
"Falcon Road, Clapham Junction",153102,155599,308701
"South Wharf Road, Paddington",158669,149004,307673
"Howick Place, Westminster",141703,165909,307612
"British Museum, Bloomsbury",153186,152953,306139
"Monument Street, Monument",148601,157121,305722
"Lambeth Palace Road, Waterloo",148843,153702,302545
"Endsleigh Gardens, Euston",155846,146262,302108
"Wright's Lane, Kensington",146645,155261,301906
"Green Street, Mayfair",150598,149828,300426
"Queen Victoria Street, St. Paul's",144332,155920,300252
"Southampton Street, Strand",144131,154464,298595
"St. Bride Street, Holborn",135391,162708,298099
"Imperial College, Knightsbridge",144148,153147,297295
"Tanner Street, Bermondsey",143216,150790,294006
"Bayley Street , Bloomsbury",143839,150095,293934
"Westbridge Road, Battersea",148433,145283,293716
"Marylebone Lane, Marylebone",143504,149523,293027
"Abingdon Green, Westminster",131121,161190,292311
"Milroy Walk, South Bank",145555,146610,292165
"Pritchard's Road, Bethnal Green",150183,141884,292067
"Winsland Street, Paddington",120456,171400,291856
"Elizabeth Bridge, Victoria",140676,150812,291488
"Park Road (Baker Street), The Regent's Park",144632,146746,291378
"Queen Street, Bank",11328,279266,290594
"Tysoe Street, Clerkenwell",145263,144230,289493
"Battersea Power Station, Battersea Park",146978,141104,288082
"Graham Street, Angel",155660,131612,287272
"Drayton Gardens, West Chelsea",140034,146295,286329
"Sloane Avenue, Knightsbridge",141507,144227,285734
"Fournier Street, Whitechapel",140914,143652,284566
"Kennington Cross, Kennington",144809,136911,281720
"Green Park Station, West End",8850,270836,279686
"Waterloo Place, St. James's",135275,144090,279365
"Cleveland Way, Stepney",138923,140103,279026
"Liverpool Road (N1 Centre), Angel",141795,136577,278372
"Boston Place, Marylebone",152690,125270,277960
"Podium, Queen Elizabeth Olympic Park",137794,139929,277723
"Porchester Place, Paddington",141229,135274,276503
"Castlehaven Road, Camden Town",139783,136462,276245
"Hinde Street, Marylebone",133209,141878,275087
"Wells Street, Fitzrovia",134184,140120,274304
"Montpelier Street, Knightsbridge",134213,139537,273750
"Westferry DLR, Limehouse",130949,142760,273709
"Binfield Road, Stockwell",135808,137705,273513
"Frith Street, Soho",131517,141218,272735
"Victoria Park Road, Hackney Central",136333,133577,269910
"Stepney Green Station, Stepney",135590,133885,269475
"All Saints Church, Portobello",135734,133629,269363
"Buckingham Gate, Westminster",128135,140795,268930
"Exhibition Road Museums, Knightsbridge",266,268395,268661
"Allington Street, Victoria",121422,147177,268599
"Exhibition Road, South Kensington",133,268395,268528
"Greenland Road, Camden Town",131835,136133,267968
"Golden Square, Soho",129193,137740,266933
"Bramham Gardens, Earl's Court",137902,128445,266347
"Museum of London, Barbican",132981,133337,266318
"Queen Mother Sports Centre, Victoria",128589,137334,265923
"Parsons Green Station, Parsons Green",134835,130491,265326
"Bricklayers Arms, Borough",135764,129240,265004
"Granby Street, Shoreditch",137347,126719,264066
"Russell Square Station, Bloomsbury",132894,130707,263601
"Belgrave Road, Victoria",132805,130635,263440
"Bolsover Street, Fitzrovia",133084,128798,261882
"Warwick Avenue Station, Maida Vale",133636,128120,261756
"New Inn Yard, Shoreditch",129094,132337,261431
"Doric Way , Somers Town",140332,120347,260679
"Bonny Street, Camden Town",132427,127311,259738
"Devonshire Terrace, Bayswater",135556,123875,259431
"Howland Street, Fitzrovia",127647,131774,259421
"Woodstock Grove, Shepherd's Bush",128146,130389,258535
"Phillimore Gardens, Kensington",125904,132586,258490
"Abbey Orchard Street, Westminster",117847,140640,258487
"Good's Way, King's Cross",129405,129051,258456
"Guilford Street , Bloomsbury",129146,128642,257788
"Hampstead Road, Euston",139696,117915,257611
"Parson's Green , Parson's Green",129090,127011,256101
"Finsbury Square , Moorgate",120865,134489,255354
"Erin Close, Walham Green",126148,128343,254491
"Stephendale Road, Sands End",127669,125183,252852
"Tallis Street, Temple",120275,132269,252544
"Belvedere Road 1, South Bank",95467,156929,252396
"Wren Street, Holborn",131381,120730,252111
"Theobald's Road , Holborn",124367,127270,251637
"Strata, Elephant & Castle",124418,127018,251436
"Shoreditch Park, Hoxton",136071,115002,251073
"Albert Bridge Road, Battersea Park",127558,123512,251070
"Imperial Wharf Station, Sands End",120207,130380,250587
"Riverlight North, Nine Elms",126439,123307,249746
"Page Street, Westminster",119995,128400,248395
"Bouverie Street, Temple",118930,129132,248062
"Pott Street, Bethnal Green",125285,122624,247909
"Cadogan Gardens, Chelsea",118641,129022,247663
"Shadwell Station, Shadwell",128780,118762,247542
"Cadogan Close, Victoria Park",123953,123560,247513
"New Road 1 , Whitechapel",123804,123406,247210
"Brick Lane Market, Shoreditch",123890,122663,246553
"One Tower Bridge, Bermondsey",52400,194022,246422
"Haggerston Road, Haggerston",123799,122476,246275
"Pitfield Street North,Hoxton",128255,116611,244866
"Millbank Tower, Pimlico",119939,124355,244294
"Seville Street, Knightsbridge",120673,123338,244011
"Exhibition Road Museums, South Kensington",102194,140809,243003
"Hatton Garden, Holborn",125374,117166,242540
"Stamford Street, South Bank",111946,128790,240736
"St. George's Square, Pimlico",124053,116203,240256
"Northington Street , Holborn",119629,119976,239605
"Alderney Street, Pimlico",123470,115161,238631
"Earnshaw Street , Covent Garden",116703,121013,237716
"Bishop's Bridge Road West, Bayswater",121201,115410,236611
"Rampayne Street, Pimlico",120874,115732,236606
"The Vale, Chelsea",106220,129856,236076
"Dorset Square, Marylebone",117830,117696,235526
"Broadwick Street, Soho",115212,119984,235196
"Southwark Station 2, Southwark",119763,115247,235010
"Broadcasting House, Marylebone",115702,119223,234925
"Great Russell Street, Bloomsbury",116129,118792,234921
"Snowsfields, London Bridge",113034,121581,234615
"New Fetter Lane, Holborn",120801,113667,234468
"Sutton Street, Shadwell",121857,112280,234137
"Kensington Church Street, Kensington",117252,116851,234103
"Normand Park, West Kensington",116118,117669,233787
"York Hall, Bethnal Green",118579,115146,233725
"The Green Bridge, Mile End",93257,138857,232114
"Vicarage Crescent, Battersea",118024,113813,231837
"Natural History Museum, South Kensington",113825,117828,231653
"Chapel Place, Marylebone",111800,119286,231086
"Harriet Street, Knightsbridge",112542,118432,230974
"Sadlers Sports Centre, Finsbury",117280,113614,230894
"Crisp Road, Hammersmith",113897,116614,230511
"Fire Brigade Pier, Vauxhall",122633,106660,229293
"Norton Folgate, Liverpool Street",109699,119315,229014
"Palace Gardens Terrace, Notting Hill",123210,105550,228760
"Lancaster Gate , Bayswater",127663,100933,228596
"Columbia Road, Shoreditch",117227,110427,227654
"St Mary's Hospital, Paddington",55636,171400,227036
"Jubilee Plaza, Canary Wharf",111863,114448,226311
"Sackville Street, Mayfair",109282,116563,225845
"Watney Street, Shadwell",117628,107832,225460
"Jewry Street, Aldgate",111035,114307,225342
"Tate Modern, Bankside",110170,114695,224865
"Charles II Street, West End",106258,118285,224543
"Goldsmith's Row, Haggerston",115939,108261,224200
"Chadwell Street, Angel",119363,104284,223647
"Wenlock Road , Hoxton",123430,100118,223548
"Old Brompton Road, South Kensington",114649,108500,223149
"Turquoise Island, Notting Hill",113505,109273,222778
"Snow Hill, Farringdon",111020,111567,222587
"Gloucester Street, Pimlico",116959,104722,221681
"Southampton Place, Holborn",109089,112523,221612
"Horseferry Road, Westminster",107410,113956,221366
"Crawford Street, Marylebone",112157,109028,221185
"New Cavendish Street, Marylebone",108958,112039,220997
"Ontario Street, Elephant & Castle",109528,110653,220181
"Eastbourne Mews, Paddington",118359,101700,220059
"The Tennis Courts, The Regent's Park",108849,111193,220042
"Empire Square, The Borough",108259,111358,219617
"Poured Lines, Bankside",107214,112254,219468
"George Street, Marylebone",106003,113173,219176
"Wapping Lane, Wapping",110350,108672,219022
"Penywern Road, Earl's Court",111915,107011,218926
"Gloucester Road (North), Kensington",109158,109765,218923
"Central House, Aldgate",107520,110579,218099
"LMU Commercial Road, Whitechapel",111367,106714,218081
"North Audley Street, Mayfair",106938,110425,217363
"Royal Avenue 2, Chelsea",106969,110092,217061
"Twig Folly Bridge, Mile End",112670,104333,217003
"New Globe Walk, Bankside",108017,108617,216634
"Prince Albert Road, The Regent's Park",109042,107103,216145
"Brunswick Square, Bloomsbury",109422,106456,215878
"Queen's Gate (North), Kensington",108079,107220,215299
"Sopwith Way, Battersea Park",107765,107481,215246
"De Vere Gardens, Kensington",114141,100458,214599
"Great Titchfield Street, Fitzrovia",106409,107921,214330
"Grosvenor Square, Mayfair",100700,112940,213640
"Baldwin Street, St. Luke's",107430,106121,213551
"Barons Court Station, West Kensington",109140,103471,212611
"Ada Street, Hackney Central",103963,108087,212050
"St. Mary Axe, Aldgate",104291,107523,211814
"Strand, Strand",101359,109697,211056
"Westferry Circus, Canary Wharf",103676,107074,210750
"Walworth Road, Elephant & Castle",90851,119722,210573
"Holy Trinity Brompton, Knightsbridge",100554,109811,210365
"Embankment (Savoy), Strand",99626,110311,209937
"Coomer Place, West Kensington",105451,104408,209859
"Ansell House, Stepney",106796,103014,209810
"Cartwright Gardens , Bloomsbury",109590,99504,209094
"Hertford Road, De Beauvoir Town",110844,98004,208848
"Tachbrook Street, Victoria",105402,103388,208790
"Queensway, Kensington Gardens",74244,134501,208745
"Sun Street, Liverpool Street",73441,135274,208715
"Hammersmith Road, Hammersmith",104127,104290,208417
"St. Peter's Terrace, Fulham",105863,101889,207752
"Smith Square, Westminster",98821,108830,207651
"Christopher Street, Liverpool Street",97282,109692,206974
"Bell Lane, Liverpool Street",101878,104945,206823
"Phene Street, Chelsea",104772,101724,206496
"Ilchester Gardens, Bayswater",107905,98181,206086
"Portland Place, Marylebone",103276,102648,205924
"Birkenhead Street, King's Cross",101660,103634,205294
"South Lambeth Road, Vauxhall",103535,101588,205123
"Fanshaw Street, Hoxton",108651,95791,204442
"Golden Lane, Barbican",100841,103002,203843
"Taviton Street, Bloomsbury",103780,99784,203564
"Old Montague Street, Whitechapel",103439,100053,203492
"High Holborn , Covent Garden",99695,103512,203207
"Limerston Street, Chelsea",5488,197714,203202
"Belvedere Road, South Bank",46092,156929,203021
"Alfred Place, Bloomsbury",88237,114506,202743
"Lower Marsh, Waterloo",99208,102528,201736
"Queen's Gate (South), South Kensington",101271,100330,201601
"Edgware Road Station, Marylebone",107551,93779,201330
"Chelsea Bridge, Pimlico",103099,97815,200914
"Macclesfield Rd, St Lukes",111385,89226,200611
"Charlotte Street, Fitzrovia",99260,101340,200600
"Beaumont Street, Marylebone",100943,99246,200189
"Simpson Street, Clapham Junction",98594,100702,199296
"Rodney Road , Walworth",102983,95637,198620
"Saunders Ness Road, Cubitt Town",95876,102370,198246
"Clapham Common North Side, Clapham Common",94035,103673,197708
"Upper Bank Street, Canary Wharf",97456,100180,197636
"Chesilton Road, Fulham",100445,96904,197349
"Devonshire Square, Liverpool Street",97535,99772,197307
"Harcourt Terrace, West Brompton",101708,95313,197021
"Tavistock Place, Bloomsbury",103238,93534,196772
"St. Katharine's Way, Tower",98351,98189,196540
"Portman Square, Marylebone",95948,100377,196325
"Driffield Road, Old Ford",98315,96092,194407
"Caldwell Street, Stockwell",96250,98034,194284
"Lansdowne Road, Ladbroke Grove",97825,96366,194191
"Bridge Avenue, Hammersmith",95496,98492,193988
"Whiteley's, Bayswater",59478,134501,193979
"Stonecutter Street, Holborn",81740,112157,193897
"Waterloo Road, South Bank",95047,98526,193573
"Borough High Street, The Borough",97076,96359,193435
"Queen Mary's, Mile End",97177,96238,193415
"Christian Street, Whitechapel",104202,88928,193130
"Dock Street, Wapping",88890,103828,192718
"Roscoe Street, St. Luke's",95420,96935,192355
"Gunmakers Lane, Old Ford",96049,96105,192154
"Commercial Street, Shoreditch",94560,97506,192066
"Kennington Oval, Oval",95607,96390,191997
"Westbourne Grove, Bayswater",98544,93435,191979
"Kingsway Southbound, Strand",91122,100606,191728
"Knightsbridge, Hyde Park",110194,81400,191594
"Blackfriars Road, Southwark",94985,96275,191260
"St. Luke's Church, Chelsea",95091,95454,190545
"Fisherman's Walk West, Canary Wharf",91935,98458,190393
"Wandsworth Town Station, Wandsworth",92480,97862,190342
"Gloucester Avenue, Camden Town",98654,91205,189859
"Pont Street, Knightsbridge",92367,97467,189834
"Maplin Street, Mile End",50478,138857,189335
"East Village, Queen Elizabeth Olympic Park",94645,94543,189188
"Windsor Terrace, Hoxton",102470,85734,188204
"Doddington Grove, Kennington",95668,92254,187922
"Warwick Road, Olympia",94383,93396,187779
"Southwick Street, Paddington",97779,89830,187609
"Pindar Street, Liverpool Street",52186,135274,187460
"Great Dover Street, The Borough",94562,92817,187379
"Globe Town Market, Bethnal Green",96041,91085,187126
"Bow Church Station, Bow",95093,91904,186997
"Barbican Centre, Barbican",92021,94771,186792
"Ebury Bridge, Pimlico",97250,89482,186732
"Prince of Wales Drive, Battersea Park",94767,91929,186696
"Austin Road, Battersea Park",94128,92365,186493
"Black Prince Road, Vauxhall",94940,91372,186312
"St. George Street, Mayfair",85428,100203,185631
"Warwick Square, Pimlico",99147,86150,185297
"Torrens Street, Angel",95343,89787,185130
"Paddington Street, Marylebone",93395,91698,185093
"Hampton Street, Walworth",94301,90472,184773
"Grant Road East, Clapham Junction",89354,95098,184452
"Blenheim Crescent, Ladbroke Grove",92223,92037,184260
"Union Street, The Borough",92407,91610,184017
"Timber Lodge, Queen Elizabeth Olympic Park",92340,91343,183683
"Albany Street, The Regent's Park",98322,84993,183315
"World's End Place, West Chelsea",92160,91011,183171
"Farringdon Lane, Clerkenwell",90538,91736,182274
"Hartington Road, Stockwell",92218,90049,182267
"Manresa Road, Chelsea",90615,91574,182189
"Clifton Road, Maida Vale",94193,87983,182176
"Ravenscourt Park Station, Hammersmith",88652,93166,181818
"Long Lane , Bermondsey",92015,89383,181398
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",91672,89634,181306
"Baker Street, Marylebone",91702,89562,181264
"Monier Road, Hackney Wick",90431,90643,181074
"Reardon Street, Wapping",92054,87736,179790
"Vereker Road, West Kensington",81563,98109,179672
"Furze Green, Bow",91030,88349,179379
"Euston Road, Euston",92108,86994,179102
"Danvers Street, West Chelsea",90252,88778,179030
"Battersea Park Road, Nine Elms",92595,86371,178966
"Hereford Road, Bayswater",94031,84834,178865
"Old Ford Road, Bethnal Green",92257,86507,178764
"Sandilands Road, Walham Green",89972,88442,178414
"Swan Street, The Borough",90298,87923,178221
"Lollard Street, Vauxhall",93920,84178,178098
"Lavington Street, Bankside",86573,89897,176470
"Greyhound Road, Hammersmith",89646,86588,176234
"St. Martin's Street, West End",83366,92530,175896
"Sardinia Street, Holborn",86137,89675,175812
"Wellington Row, Bethnal Green",91946,83394,175340
"Riverlight South, Nine Elms",89078,86161,175239
"Houndsditch, Aldgate",85273,89756,175029
"Bethnal Green Garden, Bethnal Green",87377,86851,174228
"Bury Place, Holborn",85711,88422,174133
"Finlay Street, Fulham",87974,85901,173875
"Kennington Road  , Vauxhall",90954,82081,173035
"Albert Gardens, Stepney",90034,82885,172919
"St Mary's Hospital, Westminster",1382,171400,172782
"Queen's Gate (Central), South Kensington",86392,86293,172685
"Bell Street , Marylebone",88333,84336,172669
