station,start_count,end_count,total_count
"Shepherd's Bush Road North, Shepherd's Bush",2868,2886,5754
"Normandy Road, Stockwell",2924,2826,5750
"Hartington Road, Stockwell",2893,2842,5735
"Hertford Road, De Beauvoir Town",3064,2660,5724
"Bermondsey Station, Bermondsey",2776,2945,5721
"Swan Street, The Borough",2933,2783,5716
"Humbolt Road, Fulham",2952,2763,5715
"Exhibition Road Museums 1, South Kensington",2745,2964,5709
"Fisherman's Walk West, Canary Wharf",2846,2855,5701
"Watney Street, Shadwell",2962,2736,5698
"Harriet Street, Knightsbridge",2601,3093,5694
"Ilchester Gardens, Bayswater",2992,2700,5692
"Brick Lane Market, Shoreditch",2797,2879,5676
"Caldwell Street, Stockwell",2924,2749,5673
"Regency Street, Westminster",2904,2765,5669
"Natural History Museum, South Kensington",2486,3173,5659
"Shouldham Street, Marylebone",2889,2767,5656
"Burdett Road, Mile End",2798,2856,5654
"Union Street, The Borough",2844,2804,5648
"New Kent Road, The Borough",2864,2782,5646
"Abingdon Green, Westminster",2550,3088,5638
"Imperial Road, Sands End",2927,2704,5631
"Chelsea Bridge, Pimlico",2799,2830,5629
"Old Montague Street, Whitechapel",2834,2788,5622
"Burgess Park Albany Road, Walworth",2798,2824,5622
"Cartwright Gardens , Bloomsbury",2981,2630,5611
"Finsbury Square , Moorgate",2573,3034,5607
"Albert Square, Stockwell",2866,2723,5589
"Belvedere Road 1, South Bank",2631,2941,5572
"Gower Place , Euston",2793,2778,5571
"Gloucester Road (Central), South Kensington",2794,2771,5565
"BBC White City, White City",2782,2777,5559
"Butler Place, Westminster",2636,2918,5554
"Collingham Gardens, Earl's Court",2882,2645,5527
"Tyers Gate, Bermondsey",2750,2760,5510
"Cadogan Place, Knightsbridge",2484,3008,5492
"Ormonde Gate, Chelsea",2681,2808,5489
"Southwark Station 1, Southwark",2622,2865,5487
"East Village, Queen Elizabeth Olympic Park",2736,2749,5485
"Vauxhall Street, Vauxhall",2720,2747,5467
"Lansdowne Road, Ladbroke Grove",2774,2690,5464
"Lower Marsh, Waterloo",2694,2766,5460
"Golden Lane, Barbican",2753,2698,5451
"Westbourne Grove, Bayswater",2810,2632,5442
"Furze Green, Bow",2757,2676,5433
"Murray Grove , Hoxton",3056,2372,5428
"Kennington Station, Kennington",2727,2696,5423
"Devonshire Square, Liverpool Street",2632,2780,5412
"Harrington Square 1, Camden Town",2833,2571,5404
"Lavington Street, Bankside",2639,2761,5400
"Hewison Street, Old Ford",2758,2640,5398
"Southwick Street, Paddington",2959,2428,5387
"Shadwell Station, Shadwell",2753,2604,5357
"Tallis Street, Temple",2632,2714,5346
"Lincoln's Inn Fields, Holborn",2476,2867,5343
"Charlotte Street, Fitzrovia",2648,2693,5341
"Driffield Road, Old Ford",2775,2548,5323
"Bevington Road West, North Kensington",2656,2648,5304
"Sutton Street, Shadwell",2748,2555,5303
"Mile End Park Leisure Centre, Mile End",2753,2543,5296
"Roscoe Street, St. Luke's",2668,2622,5290
"Prince of Wales Drive, Battersea Park",2712,2576,5288
"Sardinia Street, Holborn",2546,2731,5277
"Tavistock Place, Bloomsbury",2764,2504,5268
"Exhibition Road Museums 2, South Kensington",2543,2723,5266
"Lexham Gardens, Kensington",2733,2533,5266
"Scala Street, Fitzrovia",2637,2628,5265
"Reardon Street, Wapping",2701,2563,5264
"Pitfield Street Central, Hoxton",3016,2222,5238
"Southerton Road, Hammersmith",2479,2744,5223
"Gloucester Terrace, Bayswater",2799,2414,5213
"Bury Place, Holborn",2544,2664,5208
"North Wharf Road, Paddington",2745,2457,5202
"Millbank Tower, Pimlico",2552,2636,5188
"Westferry Circus, Canary Wharf",2287,2893,5180
"Eel Brook Common, Walham Green",2626,2537,5163
"Richmond Way, Shepherd's Bush",2586,2576,5162
"Knaresborough Place, Earl's Court",2684,2477,5161
"Dorothy Road, Clapham Junction",2610,2513,5123
"Great Titchfield Street, Fitzrovia",2561,2553,5114
"Borough Road, Elephant & Castle",2543,2570,5113
"Wren Street, Holborn",2594,2517,5111
"Import Dock, Canary Wharf",2523,2579,5102
"Fire Brigade Pier, Vauxhall",2674,2419,5093
"Durant Street, Bethnal Green",2673,2419,5092
"Sugden Road, Clapham",2583,2495,5078
"Curzon Street, Mayfair",2287,2766,5053
"Emperor's Gate, South Kensington",2537,2511,5048
"Kennington Road Post Office, Oval",2490,2508,4998
"Kennington Road  , Vauxhall",2558,2426,4984
"Wandsworth Town Station, Wandsworth",2428,2547,4975
"Seymour Place, Marylebone",2507,2449,4956
"Vincent Street, Pimlico",2589,2353,4942
"Kensington Gore, Knightsbridge",2453,2476,4929
"Clinton Road, Mile End",2474,2451,4925
"Bell Street , Marylebone",2535,2389,4924
"Cadogan Close, Victoria Park",2471,2448,4919
"Snow Hill, Farringdon",2454,2460,4914
"Beryl Road, Hammersmith",2472,2440,4912
"Euston Road, Euston",2505,2407,4912
"Fashion Street, Whitechapel",2418,2484,4902
"Ford Road, Old Ford",2501,2400,4901
"Salmon Lane, Limehouse",2502,2392,4894
"Gascoyne Road, Victoria Park",2470,2421,4891
"Farringdon Street, Holborn",2430,2452,4882
"Windsor Terrace, Hoxton",2689,2192,4881
"Prince Albert Road, The Regent's Park",2509,2363,4872
"Putney Pier, Wandsworth",2394,2475,4869
"Wellington Road, St. John's Wood",2572,2293,4865
"City Road, Angel",2765,2100,4865
"Albert Embankment, Vauxhall",2426,2436,4862
"Bow Road Station, Bow",2514,2346,4860
"Lindfield Street, Poplar",2496,2359,4855
"Palissy Street, Shoreditch",2537,2298,4835
"Rathbone Street, Fitzrovia",2422,2413,4835
"Christopher Street, Liverpool Street",2220,2612,4832
"East Road, Hoxton",2605,2225,4830
"Sumner Place, South Kensington",2401,2429,4830
"Coram Street, Bloomsbury",2502,2314,4816
"Farringdon Lane, Clerkenwell",2418,2382,4800
"Lambeth Road, Vauxhall",2403,2394,4797
"Breams Buildings, Holborn",2359,2430,4789
"Waterloo Road, South Bank",2370,2418,4788
"Concert Hall Approach 2, South Bank",2330,2458,4788
"West Cromwell Road, Earl's Court",2496,2278,4774
"Prince Consort Road, Knightsbridge",2222,2541,4763
"Lambeth North Station, Waterloo",2334,2426,4760
"Whiston Road, Haggerston",2633,2125,4758
"Southwark Station 2, Southwark",2399,2356,4755
"Usk Road, Clapham Junction",2415,2339,4754
"Harrowby Street, Marylebone",2472,2279,4751
"Hermitage Court, Wapping",2433,2307,4740
"St. Katharine's Way, Tower",2385,2352,4737
"George Place Mews, Marylebone",2341,2383,4724
"Gaywood  Street, Elephant & Castle",2393,2326,4719
"Borough High Street, The Borough",2348,2363,4711
"Royal College Street, Camden Town",2458,2251,4709
"Claverton Street, Pimlico",2433,2272,4705
"Fulham Park Road, Fulham",2386,2311,4697
"Great Suffolk Street, The Borough",2393,2299,4692
"Ebury Bridge, Pimlico",2433,2253,4686
"Harper Road, The Borough",2359,2326,4685
"Danvers Street, West Chelsea",2385,2293,4678
"Aberdeen Place, St. John's Wood",2504,2170,4674
"Albert Gardens, Stepney",2444,2226,4670
"Rodney Road , Walworth",2432,2232,4664
"Clapham Common North Side, Clapham Common",2493,2144,4637
"Courland Grove, Wandsworth Road",2301,2335,4636
"Bancroft Road, Bethnal Green",2439,2193,4632
"Osiers Road, Wandsworth",2347,2283,4630
"Percival Street, Finsbury",2457,2169,4626
"Finsbury Library , Finsbury",2396,2221,4617
"South Parade, Chelsea",2308,2305,4613
"Lansdowne Drive, Hackney Central",2331,2280,4611
"Fore Street Avenue, Guildhall",2118,2491,4609
"Commercial Street, Shoreditch",2290,2312,4602
"Ada Street, Hackney Central",2279,2315,4594
"Falkirk Street, Hoxton",2417,2172,4589
"Gloucester Avenue, Camden Town",2340,2219,4559
"Brook Green South, Brook Green",2287,2270,4557
"Silverthorne Road, Battersea",2313,2241,4554
"St. John's Wood Road, St. John's Wood",2497,2057,4554
"Gunmakers Lane, Old Ford",2359,2180,4539
"Union Grove, Wandsworth Road",2288,2247,4535
"Embankment (Savoy), Strand",2247,2278,4525
"Nutford Place, Marylebone",2345,2171,4516
"Goswell Road (City Uni), Finsbury",2476,2035,4511
"Upcerne Road, West Chelsea",2311,2189,4500
"Cephas Street, Bethnal Green",2347,2150,4497
"Eversholt Street , Camden Town",2302,2191,4493
"Cheshire Street, Bethnal Green",2342,2122,4464
"Mile End Stadium, Mile End",2289,2174,4463
"Shoreditch Court, Haggerston",2219,2236,4455
"Warwick Avenue Station, Maida Vale",2293,2160,4453
"Surrey Lane, Battersea",2310,2141,4451
"Houghton Street, Strand",2177,2267,4444
"Watney Market, Stepney",2260,2175,4435
"William Morris Way, Sands End",2227,2206,4433
"West Kensington Station, West Kensington",2285,2143,4428
"Ashley Crescent, Battersea",2263,2160,4423
"Woodstock Street, Mayfair",2180,2240,4420
"Blenheim Crescent, Ladbroke Grove",2242,2176,4418
"Kensington Olympia Station, Olympia",2326,2077,4403
"Crabtree Lane, Fulham",2209,2188,4397
"Bishop's Avenue, Fulham",2227,2158,4385
"Belgrave Square, Belgravia",2182,2181,4363
"Gwendwr Road, West Kensington",2209,2144,4353
"Hansard Mews, Holland Park",2135,2218,4353
"Parkway, Camden Town",2130,2221,4351
"Chepstow Villas, Notting Hill",2378,1964,4342
"St. Chad's Street, King's Cross",2135,2204,4339
"St. John's Wood Church, The Regent's Park",2608,1725,4333
"Belvedere Road 2, South Bank",2090,2229,4319
"Orbel Street, Battersea",2181,2137,4318
"Victoria & Albert Museum, South Kensington",1869,2449,4318
"Everington Street, Fulham",2156,2159,4315
"Bruton Street, Mayfair",2113,2169,4282
"Bethnal Green Garden, Bethnal Green",2181,2085,4266
"Blythe Road West, Shepherd's Bush",2156,2107,4263
"Kennington Oval, Oval",2156,2084,4240
"Aston Street, Stepney",2201,2002,4203
"Great Percy Street, Clerkenwell",2274,1923,4197
"Westminster University, Marylebone",2086,2100,4186
"Concert Hall Approach 1, South Bank",2077,2099,4176
"The Metropolitan, Portobello",2136,2038,4174
"Frampton Street, Paddington",2203,1970,4173
"Chancery Lane, Holborn",2057,2104,4161
"Temple Gardens, Temple",2034,2108,4142
"Fore Street, Guildhall",1853,2283,4136
"Guildhouse Street, Victoria",2079,2050,4129
"Kings Gate House, Westminster",2015,2109,4124
"Wood Street, Guildhall",1923,2195,4118
"Jubilee Street, Stepney",2211,1899,4110
"Sheepcote Lane, Battersea",2041,2061,4102
"The Tennis Courts, The Regent's Park",2043,2032,4075
"Nevern Place, Earl's Court",2174,1899,4073
"Bedford Way, Bloomsbury",2046,2016,4062
"Pembridge Villas, Notting Hill",2144,1903,4047
"Ashmole Estate, Oval",2067,1973,4040
"Charlbert Street, St. John's Wood",2176,1859,4035
"Grafton Street, Mayfair",1732,2293,4025
"Rochester Row, Westminster",1930,2087,4017
"Lots Road, West Chelsea",2049,1957,4006
"Carnegie Street, King's Cross",2251,1746,3997
"Charlotte Terrace, Angel",2261,1691,3952
"Newton Street, Covent Garden",1888,2050,3938
"Archbishop's Park, Waterloo",1932,1998,3930
"St. Martin's Street, West End",1818,2093,3911
"Royal Avenue 1, Chelsea",1930,1977,3907
"Margery Street, Clerkenwell",2045,1859,3904
"Rotherhithe Roundabout, Rotherhithe",1938,1964,3902
"Little Brook Green, Brook Green",1889,2011,3900
"Hollybush Gardens, Bethnal Green",1982,1912,3894
"Ampton Street , Clerkenwell",2096,1794,3890
"Cloudesley Road, Angel",2537,1350,3887
"Sidney Road, Stockwell",1944,1913,3857
"Garnet Street, Shadwell",1987,1867,3854
"Cleveland Gardens, Bayswater",2129,1713,3842
"Disraeli Road, Putney",1897,1942,3839
"Abingdon Villas, Kensington",1958,1877,3835
"Rectory Square, Stepney",1988,1839,3827
"Cotton Garden Estate, Kennington",1962,1860,3822
"Grove End Road, St. John's Wood",2067,1753,3820
"Antill Road, Mile End",2045,1754,3799
"Putney Bridge Station, Fulham",1886,1897,3783
"Selby Street, Whitechapel",1895,1879,3774
"Queensbridge Road, Haggerston",2069,1696,3765
"Argyll Road, Kensington",1894,1867,3761
"Thorndike Close, West Chelsea",1978,1782,3760
"Wendon Street, Old Ford",1914,1837,3751
"South Park, Sands End",1977,1768,3745
"Clifton Street, Shoreditch",1851,1890,3741
"King Edward Street, St Pauls",1803,1931,3734
"Cromer Street, Bloomsbury",1880,1847,3727
"Eaton Square, Belgravia",1853,1871,3724
"Copper Box Arena, Queen Elizabeth Olympic Park",1856,1863,3719
"Finnis Street, Bethnal Green",1952,1767,3719
"Torrens Street, Angel",1894,1818,3712
"Millennium Hotel, Mayfair",1790,1921,3711
"Poured Lines, Bankside",1800,1900,3700
"Wandsworth Rd, Isley Court, Wandsworth Road",1906,1791,3697
"Old Ford Road, Bethnal Green",1962,1718,3680
"Saunders Ness Road, Cubitt Town",1725,1953,3678
"The Guildhall, Guildhall",1705,1957,3662
"Arlington Road, Camden Town",1861,1790,3651
"Princedale Road , Holland Park",1816,1831,3647
"Irene Road, Parsons Green",1874,1763,3637
"Blythe Road, Olympia",1826,1801,3627
"Clarges Street, Mayfair",1662,1915,3577
"Park Lane, Mayfair",1787,1789,3576
"Chrisp Street Market, Poplar",1786,1786,3572
"New Globe Walk, Bankside",1738,1823,3561
"St. Mark's Road, North Kensington",1781,1766,3547
"Devons Road, Bow",1750,1797,3547
"Sail Street, Vauxhall",1811,1732,3543
"Stonecutter Street, Holborn",1577,1948,3525
"LSBU (Borough Road), Elephant & Castle",1718,1806,3524
"Stainsby Road , Poplar",1787,1730,3517
"Central House, Aldgate",1737,1776,3513
"Bromley High Street, Bow",1772,1734,3506
"Cleaver Street, Kennington",1772,1725,3497
"St. John Street, Finsbury",1886,1592,3478
"Victoria Rise, Clapham Common",1796,1650,3446
"Manbre Road, Hammersmith",1747,1698,3445
"Brandon Street, Walworth",1722,1717,3439
"Southwark Street, Bankside",1666,1754,3420
"Farm Street, Mayfair",1617,1797,3414
"Claremont Square, Angel",2011,1402,3413
"Harford Street, Mile End",1765,1644,3409
"Northdown Street, King's Cross",1735,1674,3409
"Felsham Road, Putney",1693,1705,3398
"Grosvenor Road, Pimlico",1744,1637,3381
"Clifton Road, Maida Vale",1758,1616,3374
"Vauxhall Walk, Vauxhall",1662,1688,3350
"Timber Lodge, Queen Elizabeth Olympic Park",1678,1669,3347
"River Street , Clerkenwell",1973,1363,3336
"Portugal Street, Holborn",1635,1696,3331
"Coomer Place, West Kensington_OLD",1675,1646,3321
"Stanhope Gate, Mayfair",1617,1681,3298
"Denyer Street, Knightsbridge",1570,1708,3278
"Wapping High Street, Wapping",1669,1600,3269
"Pancras Road, King's Cross",1631,1637,3268
"Euston Square Gardens, Euston",1633,1630,3263
"Drummond Street , Euston",1907,1346,3253
"Park Street, Bankside",1568,1678,3246
"Elysium Place, Fulham",1663,1571,3234
"Kensington Town Hall, Kensington",1644,1588,3232
"Westfield Southern Terrace ,Shepherd's Bush",1482,1729,3211
"Red Lion Square, Holborn",1677,1524,3201
"Mostyn Grove, Bow",1718,1478,3196
"Abyssinia Close, Clapham Junction",1583,1599,3182
"Waterloo Bridge, South Bank",1581,1594,3175
"Neville Gill Close, Wandsworth",1478,1665,3143
"Eaton Square (South), Belgravia",1517,1602,3119
"New Spring Gardens Walk, Vauxhall",1222,1877,3099
"Marloes Road, Kensington",1605,1491,3096
"Thurtle Road, Haggerston",1801,1287,3088
"Pennington Street, Wapping",1608,1479,3087
"Rainville Road, Hammersmith",1498,1573,3071
"Sancroft Street, Vauxhall",1570,1498,3068
"Victory Place, Walworth",1629,1426,3055
"South Audley Street, Mayfair",1489,1565,3054
"Broadley Terrace, Marylebone",1656,1389,3045
"Stanley Grove, Battersea",1582,1458,3040
"Vicarage Gate, Kensington",1651,1369,3020
"Princes Square, Bayswater",1723,1281,3004
"Clifford Street, Mayfair",1375,1603,2978
"Smugglers Way, Wandsworth",1488,1486,2974
"Longford Street, The Regent's Park",1671,1284,2955
"All Saints' Road, Portobello",1519,1421,2940
"Knightsbridge, Hyde Park",1713,1227,2940
"Merchant Street, Bow",1517,1414,2931
"Hardwick Street, Clerkenwell",1765,1162,2927
"Aylward Street, Stepney",1508,1394,2902
"Dickens Square, Borough",1386,1503,2889
"Plough Terrace, Clapham Junction",1494,1393,2887
"Vauxhall Bridge , Pimlico",1400,1408,2808
"Pindar Street, Liverpool Street",1265,1538,2803
"Canton Street, Poplar",1414,1381,2795
"Calshot Street , King's Cross",1495,1275,2770
"East India DLR, Blackwall",1315,1452,2767
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",1365,1396,2761
"Culvert Road, Battersea",1372,1378,2750
"Carey Street, Holborn",1335,1405,2740
"Lightermans Road, Millwall",1367,1359,2726
"Vincent Square, Westminster",1371,1354,2725
"Grenfell Road, Avondale",1361,1322,2683
"Stewart's Road, Wandsworth Road",1403,1267,2670
"Crinan Street, King's Cross",1314,1341,2655
"Lower Thames Street, Monument",1303,1329,2632
"Ranelagh Gardens, Fulham",1288,1327,2615
"Bishop's Bridge Road East, Bayswater",1432,1182,2614
"Hoxton Street, Hoxton",1379,1219,2598
"Mallory Street, Marylebone",1448,1135,2583
"Greycoat Street , Westminster",1278,1304,2582
"London Zoo Car Park, The Regent's Park",1310,1205,2515
"London Zoo,  The Regent's Park",1315,1193,2508
"Walmer Road, Avondale",1281,1227,2508
"Teversham Lane, Stockwell",1170,1337,2507
"Southern Grove, Bow",1324,1172,2496
"Addison Road, Holland Park",1235,1237,2472
"New North Road 2, Hoxton",1353,1109,2462
"Kingsway, Covent Garden",1212,1246,2458
"Westfield Eastern Access Road, Shepherd's Bush",764,1677,2441
"Russell Gardens, Olympia",1265,1168,2433
"Westbourne Park Road, Portobello",1284,1132,2416
"Clapham Road, Lingham Street, Stockwell",1211,1185,2396
"Wynne Road, Stockwell",1210,1160,2370
"Buxton Street 1, Shoreditch",1206,1161,2367
"Jubilee Crescent, Cubitt Town",1161,1178,2339
"Upper Richmond Road, Putney",1163,1157,2320
"Freston Road, Avondale",1148,1166,2314
"Penfold Street, Marylebone",1226,1075,2301
"Killick Street, King's Cross",1181,1102,2283
"Peterborough Road, Sands End",1175,1108,2283
"Clarendon Road, Avondale",1160,1122,2282
"Campden Hill Road, Notting Hill",1306,973,2279
"Broomhouse Lane, Parsons Green",1137,1131,2268
"Alma Road, Wandsworth",1196,1040,2236
"Clarkson Street, Bethnal Green",1160,1038,2198
"Hawley Crescent, Camden Town",1133,1059,2192
"Holden Street, Battersea",1118,1073,2191
"Heath Road, Battersea",1165,1007,2172
"Orsett Terrace, Bayswater",1209,949,2158
"Lisson Grove, St. John's Wood",1207,951,2158
"Naval Row, Blackwall",1054,1098,2152
"Clarence Walk, Stockwell",1155,996,2151
"St John's Crescent, Brixton",1006,1140,2146
"Fawcett Close, Battersea",1061,1040,2101
"Limburg Road, Clapham Junction",1046,1047,2093
"Hurlingham Park, Parsons Green",1060,1016,2076
"Abbotsbury Road, Holland Park",1096,973,2069
"Risinghill Street, Angel",1130,935,2065
"Ingrave Street, Clapham Junction",1006,1050,2056
"Cantrell Road, Bow",1072,980,2052
"Heron Quays DLR, Canary Wharf",978,1056,2034
"Putney Rail Station, Putney",1009,1004,2013
"St Martins Close, Camden Town",1072,925,1997
"Queensdale Road, Shepherd's Bush",962,1022,1984
"Holland Park, Kensington",1187,778,1965
"Clements Road, Bermondsey",977,987,1964
"King Edward Walk, Waterloo",991,971,1962
"Nantes Close, Wandsworth",992,955,1947
"Podium, Queen Elizabeth Olympic Park",961,976,1937
"Montserrat Road , Putney",852,1080,1932
"Greenberry Street, St.John's Wood",1157,772,1929
"Belford House, Haggerston",973,950,1923
"Geraldine Street, Elephant & Castle",965,938,1903
"Alpha Grove, Millwall",940,955,1895
"Paddington Green, Paddington",1012,775,1787
"Spindrift Avenue, Millwall",860,921,1781
"Morie Street, Wandsworth",853,915,1768
"Ilchester Place, Kensington",932,791,1723
"Preston's Road, Cubitt Town",846,866,1712
"Putney Bridge Road, East Putney",863,826,1689
"Burgess Park Albany Road, Walworth",831,850,1681
"Rifle Place, Avondale",828,840,1668
"Evesham Street, Avondale",802,837,1639
"Aberfeldy Street, Poplar",794,788,1582
"Northfields, Wandsworth",793,775,1568
"Here East North, Queen Elizabeth Olympic Park",763,793,1556
"Ladbroke Grove Central, Ladbroke Grove",950,589,1539
"Spencer Park, Wandsworth Common",781,746,1527
"Lancaster Drive, Blackwall",763,758,1521
"St. Mary & St. Michael Church, Stepney",827,689,1516
"Coomer Place, West Kensington",762,744,1506
"Napier Avenue, Millwall",744,759,1503
"Newby Place, Poplar",713,747,1460
"St. John's Park, Cubitt Town",713,735,1448
"Mexfield Road, East Putney",751,696,1447
"New North Road 1, Hoxton",953,471,1424
"East Ferry Road, Cubitt Town",706,711,1417
"Westminster Bridge Road, Elephant & Castle",694,655,1349
"Harris Academy, Bermondsey",656,666,1322
"South Bermondsey Station, Bermondsey",608,665,1273
"Esmond Street, Putney",633,625,1258
"Lansdowne Walk, Ladbroke Grove",674,550,1224
"Santos Road, Wandsworth",643,580,1223
"Oxford Road, Putney",587,628,1215
"Grosvenor Crescent, Belgravia",576,615,1191
"Sirdar Road, Avondale",601,568,1169
"Chicheley Street, South Bank",555,589,1144
"Spanish Road, Clapham Junction",631,470,1101
"South Quay East, Canary Wharf",514,585,1099
Mechanical Workshop Penton,388,688,1076
"Colet Gardens, Hammersmith",509,545,1054
"Langdon Park, Poplar",510,525,1035
"The Blue, Bermondsey",483,508,991
"Upper Grosvenor Street, Mayfair",500,483,983
"Malmesbury Road, Bow",519,396,915
"Stebondale Street, Cubitt Town",392,522,914
"Mudchute DLR, Cubitt Town",432,453,885
"Teviot Street, Poplar",410,418,828
"Millharbour, Millwall",378,365,743
"Here East South, Queen Elizabeth Olympic Park",362,348,710
"Brandon Street, Walworth",276,280,556
"Arundel Street, Temple",225,227,452
"Crimscott Street, Bermondsey",139,133,272
Pop Up Dock 1,126,111,237
"Contact Centre, Southbury House",60,60,120
Pop Up Dock 2,1,111,112
"Michael Road, Walham Green",30,35,65
LSP2,7,5,12
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,1,11,12
LSP1,2,7,9
One London,4,4,8
"Hammersmith Town Hall, Hammersmith",1,1,2